TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
34686,304,334.6480,176.0392,0.0334,---,311.7296,199.2055,0.1289, 6.4642
34686,311,334.6480,176.0392,0.0334,---,338.8018,209.1262,0.1288, 6.6393
34736,304,334.6480,176.0392,0.0334,---,311.9683,199.2052,0.1289, 6.2550
34736,311,334.6480,176.0392,0.0334,---,338.8029,208.8932,0.1288, 6.0788
34786,304,334.6480,176.0392,0.0334,---,312.2071,199.2050,0.1289, 6.3094
34786,311,334.6480,176.0392,0.0334,---,338.8040,208.6601,0.1288, 6.4652
34836,311,334.6480,176.0392,0.0334,---,338.8050,208.4268,0.1288, 6.5581
34836,304,334.6480,176.0392,0.0334,---,312.4459,199.2048,0.1289, 6.2460
34886,304,334.6480,176.0392,0.0334,---,312.6846,199.2045,0.1289, 6.4120
34886,311,334.6480,176.0392,0.0334,---,338.8061,208.1933,0.1288, 6.6505
34936,311,334.6480,176.0392,0.0334,---,338.8072,207.9598,0.1288, 6.7431
34936,304,334.6480,176.0392,0.0334,---,312.9219,199.2043,0.1289, 6.3561
34986,311,334.6480,176.0392,0.0334,---,338.8081,207.7261,0.1288, 6.5287
34986,304,334.6480,176.0392,0.0334,---,313.1520,199.2040,0.1289, 6.4498
35036,304,334.6480,176.0392,0.0334,---,313.3690,199.2038,0.1291, 6.6034
35036,311,334.6480,176.0392,0.0334,---,338.8091,207.4923,0.1288, 6.5374
35086,311,334.6480,176.0392,0.0334,---,338.8100,207.2584,0.1288, 6.3884
35086,304,334.6480,176.0392,0.0334,---,313.5662,199.2036,0.1293, 6.6335
35136,311,334.6480,176.0392,0.0334,---,338.8110,207.0244,0.1288, 6.4773
35136,304,334.6480,176.0392,0.0334,---,313.7368,199.2033,0.1295, 6.0554
35186,304,334.6480,176.0392,0.0334,---,313.8808,199.2031,0.1297, 6.5478
35186,311,334.6480,176.0392,0.0334,---,338.8120,206.7903,0.1289, 6.5052
35236,304,334.6480,176.0392,0.0334,---,313.9981,199.2029,0.1298, 6.0050
35236,311,334.6480,176.0392,0.0334,---,338.8129,206.5562,0.1289, 6.5939
35286,304,334.6480,176.0392,0.0334,---,314.0887,199.2027,0.1299, 5.7188
35286,311,334.6480,176.0392,0.0334,---,338.8138,206.3221,0.1289, 6.3867
35336,304,334.6480,176.0392,0.0334,---,314.1526,199.2026,0.1300, 6.5574
35336,311,334.6480,176.0392,0.0334,---,338.8148,206.0879,0.1289, 6.4725
35386,304,334.6480,176.0392,0.0334,---,314.1881,199.2026,0.1301, 6.2772
35386,311,334.6480,176.0392,0.0334,---,338.8157,205.8536,0.1289, 6.6038
35436,304,334.6480,176.0392,0.0334,---,314.1935,199.2026,0.1302, 6.2533
35436,311,334.6480,176.0392,0.0334,---,338.8166,205.6193,0.1289, 6.6461
35486,304,334.6480,176.0392,0.0334,---,314.1936,199.2026,0.1300, 5.4027
35486,311,334.6480,176.0392,0.0334,---,338.8174,205.3850,0.1289, 6.7339
35536,304,334.6480,176.0392,0.0334,---,314.1939,199.2026,0.1298, 6.3648
35536,311,334.6480,176.0392,0.0334,---,338.8183,205.1506,0.1289, 6.5059
35586,304,334.6480,176.0392,0.0334,---,314.1941,199.2026,0.1296, 6.2505
35586,311,334.6480,176.0392,0.0334,---,338.8191,204.9162,0.1289, 6.6216
35636,304,334.6480,176.0392,0.0334,---,314.1942,199.2026,0.1294, 6.2497
35636,311,334.6480,176.0392,0.0334,---,338.8199,204.6817,0.1289, 6.7100
35686,304,334.6480,176.0392,0.0334,---,314.1943,199.2026,0.1293, 6.2494
35686,311,334.6480,176.0392,0.0334,---,338.8208,204.4473,0.1289, 6.5142
35736,304,334.6480,176.0392,0.0334,---,314.1944,199.2026,0.1292, 6.2489
35736,311,334.6480,176.0392,0.0334,---,338.8216,204.2128,0.1289, 6.5497
35786,304,334.6480,176.0392,0.0334,---,314.1945,199.2026,0.1291, 6.2496
35786,311,334.6480,176.0392,0.0334,---,338.8225,203.9783,0.1289, 6.6374
35836,304,334.6480,176.0392,0.0334,---,314.1945,199.2026,0.1290, 6.3623
35836,311,334.6480,176.0392,0.0334,---,338.8232,203.7437,0.1289, 6.7253
35886,304,334.6480,176.0392,0.0334,---,314.1946,199.2026,0.1290, 6.4052
35886,311,334.6480,176.0392,0.0334,---,338.8240,203.5092,0.1289, 6.8143
35936,304,334.6480,176.0392,0.0334,---,314.1946,199.2026,0.1290, 6.4051
35936,311,334.6480,176.0392,0.0334,---,338.8247,203.2746,0.1289, 6.6805
35986,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3632
35986,311,334.6480,176.0392,0.0334,---,338.8254,203.0400,0.1289, 6.6211
36036,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4053
36036,311,334.6480,176.0392,0.0334,---,338.8261,202.8054,0.1289, 6.7105
